c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\api\webhook\whatsapp-webhook.js: line 201, col 34, Warning - 'event' is assigned a value but never used. (no-unused-vars)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\api\webhook\zoom-notifications.js: line 368, col 13, Warning - 'data' is assigned a value but never used. (no-unused-vars)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\api\webhook\zoom-notifications.js: line 394, col 10, Warning - 'verifyZoomSignature' is defined but never used. (no-unused-vars)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\components\agency\MultiCompanyDashboard.js: line 4, col 3, Warning - 'UsersIcon' is defined but never used. (no-unused-vars)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\components\agency\MultiCompanyDashboard.js: line 7, col 3, Warning - 'CogIcon' is defined but never used. (no-unused-vars)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\components\agency\MultiCompanyDashboard.js: line 10, col 3, Warning - 'FunnelIcon' is defined but never used. (no-unused-vars)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\components\agency\MultiCompanyDashboard.js: line 14, col 3, Warning - 'DocumentTextIcon' is defined but never used. (no-unused-vars)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\components\agency\MultiCompanyDashboard.js: line 15, col 3, Warning - 'ArrowTrendingUpIcon' is defined but never used. (no-unused-vars)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\components\agency\MultiCompanyDashboard.js: line 16, col 3, Warning - 'ArrowTrendingDownIcon' is defined but never used. (no-unused-vars)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\components\agency\MultiCompanyDashboard.js: line 19, col 3, Warning - 'TrashIcon' is defined but never used. (no-unused-vars)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\components\agency\MultiCompanyDashboard.js: line 20, col 3, Warning - 'BellIcon' is defined but never used. (no-unused-vars)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\components\analytics\AnalyticsDashboard.js: line 53, col 10, Warning - 'comparativeData' is assigned a value but never used. (no-unused-vars)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\components\analytics\AnalyticsDashboard.js: line 53, col 27, Warning - 'setComparativeData' is assigned a value but never used. (no-unused-vars)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\components\analytics\AnalyticsDashboard.js: line 55, col 10, Warning - 'selectedMetric' is assigned a value but never used. (no-unused-vars)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\components\analytics\AnalyticsDashboard.js: line 55, col 26, Warning - 'setSelectedMetric' is assigned a value but never used. (no-unused-vars)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\components\analytics\AnalyticsDashboard.js: line 77, col 6, Warning - React Hook useEffect has a missing dependency: 'loadAnalyticsData'. Either include it or remove the dependency array. (react-hooks/exhaustive-deps)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\components\analytics\AnalyticsDashboard.js: line 92, col 6, Warning - React Hook useEffect has missing dependencies: 'loadRealTimeStats' and 'refreshInterval'. Either include them or remove the dependency array. (react-hooks/exhaustive-deps)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\components\analytics\AnalyticsDashboard.js: line 209, col 6, Warning - React Hook useMemo has a missing dependency: 'channelOptions'. Either include it or remove the dependency array. (react-hooks/exhaustive-deps)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\components\analytics\AnalyticsDashboard.js: line 230, col 6, Warning - React Hook useMemo has a missing dependency: 'channelOptions'. Either include it or remove the dependency array. (react-hooks/exhaustive-deps)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\components\analytics\PredictiveAnalyticsDashboard.js: line 3, col 10, Warning - 'supabase' is defined but never used. (no-unused-vars)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\components\analytics\PredictiveAnalyticsDashboard.js: line 42, col 6, Warning - React Hook useEffect has a missing dependency: 'loadAnalyticsData'. Either include it or remove the dependency array. (react-hooks/exhaustive-deps)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\components\auth\ForgotPassword.js: line 5, col 8, Warning - 'LoadingSpinner' is defined but never used. (no-unused-vars)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\components\auth\GoogleAuthCallback.js: line 48, col 13, Warning - 'currentUser' is assigned a value but never used. (no-unused-vars)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\components\auth\GoogleAuthCallback.js: line 244, col 6, Warning - React Hook useEffect has a missing dependency: 'loadUserProfile'. Either include it or remove the dependency array. (react-hooks/exhaustive-deps)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\components\auth\LoginInnovador.js: line 161, col 13, Warning - The href attribute requires a valid value to be accessible. Provide a valid, navigable address as the href value. If you cannot provide a valid href, but still need the element to resemble a link, use a button and change it with appropriate styles. Learn more: https://github.com/jsx-eslint/eslint-plugin-jsx-a11y/blob/HEAD/docs/rules/anchor-is-valid.md (jsx-a11y/anchor-is-valid)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\components\auth\LoginInnovador.js: line 165, col 13, Warning - The href attribute requires a valid value to be accessible. Provide a valid, navigable address as the href value. If you cannot provide a valid href, but still need the element to resemble a link, use a button and change it with appropriate styles. Learn more: https://github.com/jsx-eslint/eslint-plugin-jsx-a11y/blob/HEAD/docs/rules/anchor-is-valid.md (jsx-a11y/anchor-is-valid)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\components\auth\Register.js: line 295, col 15, Warning - The href attribute requires a valid value to be accessible. Provide a valid, navigable address as the href value. If you cannot provide a valid href, but still need the element to resemble a link, use a button and change it with appropriate styles. Learn more: https://github.com/jsx-eslint/eslint-plugin-jsx-a11y/blob/HEAD/docs/rules/anchor-is-valid.md (jsx-a11y/anchor-is-valid)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\components\auth\Register.js: line 299, col 15, Warning - The href attribute requires a valid value to be accessible. Provide a valid, navigable address as the href value. If you cannot provide a valid href, but still need the element to resemble a link, use a button and change it with appropriate styles. Learn more: https://github.com/jsx-eslint/eslint-plugin-jsx-a11y/blob/HEAD/docs/rules/anchor-is-valid.md (jsx-a11y/anchor-is-valid)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\components\auth\RegisterInnovador.js: line 166, col 17, Warning - The href attribute requires a valid value to be accessible. Provide a valid, navigable address as the href value. If you cannot provide a valid href, but still need the element to resemble a link, use a button and change it with appropriate styles. Learn more: https://github.com/jsx-eslint/eslint-plugin-jsx-a11y/blob/HEAD/docs/rules/anchor-is-valid.md (jsx-a11y/anchor-is-valid)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\components\auth\RegisterInnovador.js: line 170, col 17, Warning - The href attribute requires a valid value to be accessible. Provide a valid, navigable address as the href value. If you cannot provide a valid href, but still need the element to resemble a link, use a button and change it with appropriate styles. Learn more: https://github.com/jsx-eslint/eslint-plugin-jsx-a11y/blob/HEAD/docs/rules/anchor-is-valid.md (jsx-a11y/anchor-is-valid)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\components\auth\ResetPassword.js: line 21, col 10, Warning - 'searchParams' is assigned a value but never used. (no-unused-vars)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\components\charts\AdvancedDataVisualization.js: line 37, col 19, Warning - 'setFilters' is assigned a value but never used. (no-unused-vars)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\components\charts\AdvancedDataVisualization.js: line 42, col 28, Warning - 'setAnimationEnabled' is assigned a value but never used. (no-unused-vars)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\components\charts\AdvancedDataVisualization.js: line 43, col 24, Warning - 'setHoveredPoint' is assigned a value but never used. (no-unused-vars)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\components\charts\AdvancedDataVisualization.js: line 48, col 9, Warning - 'animationRef' is assigned a value but never used. (no-unused-vars)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\components\charts\AdvancedDataVisualization.js: line 366, col 6, Warning - React Hook useCallback has an unnecessary dependency: 'theme'. Either exclude it or remove the dependency array. (react-hooks/exhaustive-deps)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\components\charts\AdvancedDataVisualization.js: line 411, col 11, Warning - 'y' is assigned a value but never used. (no-unused-vars)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\components\common\AccessibleForm.js: line 441, col 9, Warning - 'errorId' is assigned a value but never used. (no-unused-vars)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\components\common\DragDropUpload.js: line 23, col 10, Warning - 'dragCounter' is assigned a value but never used. (no-unused-vars)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\components\common\ErrorNotificationsAccessible.js: line 134, col 5, Warning - Expected a default case. (default-case)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\components\common\LazyImage.js: line 76, col 35, Warning - The ref value 'imgRef.current' will likely have changed by the time this effect cleanup function runs. If this ref points to a node rendered by React, copy 'imgRef.current' to a variable inside the effect, and use that variable in the cleanup function. (react-hooks/exhaustive-deps)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\components\common\OptimizedImage.js: line 95, col 37, Warning - The ref value 'imgRef.current' will likely have changed by the time this effect cleanup function runs. If this ref points to a node rendered by React, copy 'imgRef.current' to a variable inside the effect, and use that variable in the cleanup function. (react-hooks/exhaustive-deps)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\components\common\ResponsiveWrapper.js: line 14, col 3, Warning - 'ChevronLeftIcon' is defined but never used. (no-unused-vars)
c:\Users\admin\Desktop\AIntelligence\RRHH Brify\BrifyRRHHv2-main\src\components\common\ResponsiveWrapper.js: line 15, col 3, Warning - 'ChevronRightIcon' is defined but never used. (no-unused-vars)
